,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2532,109/04/20,"44,586,860","13,605,802,989",308.00,309.00,302.50,304.00,-2.50,"21,791"
2533,109/04/21,"61,949,357","18,417,786,171",300.50,301.50,293.50,295.00,-9.00,"39,043"
2534,109/04/22,"43,568,580","12,746,170,556",294.50,295.00,290.50,294.00,-1.00,"25,176"
2535,109/04/23,"39,977,278","11,864,085,990",300.00,300.00,294.00,295.50,+1.50,"18,541"
2536,109/04/24,"26,465,090","7,799,075,756",295.50,297.00,294.00,294.00,-1.50,"13,661"
2537,109/04/27,"38,493,406","11,461,378,300",298.00,298.50,296.00,298.00,+4.00,"15,916"
2538,109/04/28,"37,621,165","11,134,919,970",298.50,298.50,294.50,296.50,-1.50,"18,214"
2539,109/04/29,"46,253,301","13,861,245,296",299.00,301.50,298.00,299.00,+2.50,"21,633"
2540,109/04/30,"58,439,085","17,753,466,901",302.00,305.00,301.50,304.50,+5.50,"26,219"
2541,109/05/04,"72,252,861","21,341,931,218",294.50,296.50,294.00,295.00,-9.50,"37,736"
2542,109/05/05,"23,988,405","7,104,774,785",296.50,298.00,295.00,295.50,+0.50,"13,569"
2543,109/05/06,"35,704,479","10,524,838,077",294.50,296.00,292.50,296.00,+0.50,"16,046"
2544,109/05/07,"28,017,198","8,321,170,642",294.50,299.00,294.50,297.50,+1.50,"13,149"
2545,109/05/08,"35,613,893","10,619,091,212",300.00,300.00,296.00,297.50, 0.00,"14,345"
2546,109/05/11,"32,379,019","9,729,431,840",300.00,301.50,298.50,301.00,+3.50,"14,920"
2547,109/05/12,"52,494,788","15,553,012,596",297.50,298.50,295.00,295.00,-6.00,"29,073"
2548,109/05/13,"46,158,418","13,619,538,824",293.00,297.00,292.50,297.00,+2.00,"14,555"
2549,109/05/14,"34,480,948","10,119,787,160",293.00,295.00,292.50,293.00,-4.00,"21,482"
2550,109/05/15,"44,304,804","13,170,466,660",297.50,298.50,294.50,298.00,+5.00,"20,071"
2551,109/05/18,"96,872,065","28,216,346,996",291.00,293.50,290.00,290.00,-8.00,"49,640"
2552,109/05/19,"53,083,214","15,527,338,138",294.00,294.00,291.50,291.50,+1.50,"22,033"
2553,109/05/20,"36,789,994","10,772,280,152",293.00,294.00,291.00,294.00,+2.50,"16,906"
2554,109/05/21,"36,299,468","10,782,482,962",296.00,298.00,295.00,297.50,+3.50,"17,064"
2555,109/05/22,"41,138,923","12,025,339,565",294.50,295.00,291.00,292.00,-5.50,"22,345"
2556,109/05/25,"32,942,223","9,568,008,388",290.50,293.00,288.50,292.00, 0.00,"14,585"
2557,109/05/26,"35,817,481","10,609,868,646",295.00,297.50,293.50,295.50,+3.50,"19,524"
2558,109/05/27,"23,375,959","6,932,934,823",297.00,298.00,295.50,296.50,+1.00,"11,244"
2559,109/05/28,"32,395,568","9,575,118,830",298.50,298.50,293.00,294.00,-2.50,"13,208"
2560,109/05/29,"96,611,181","28,172,174,547",292.00,292.50,290.00,292.00,-2.00,"21,037"
2561,109/06/01,"37,936,214","11,205,227,094",294.00,296.50,293.50,295.50,+3.50,"15,502"
2562,109/06/02,"26,663,587","7,908,476,089",296.00,297.50,296.00,296.50,+1.00,"9,743"
2563,109/06/03,"67,894,337","20,354,971,677",300.00,301.00,298.00,301.00,+4.50,"33,062"
2564,109/06/04,"47,225,322","14,414,983,532",305.00,306.00,304.00,306.00,+5.00,"24,482"
2565,109/06/05,"44,077,262","13,655,618,646",308.50,312.00,308.00,311.50,+5.50,"24,096"
